"Id","label"
0,"hep-ph"
1,"math.CO"
2,"cs.CG"
3,"physics.gen-ph"
4,"math.CA"
5,"math.FA"
6,"cond-mat.mes-hall"
7,"gr-qc"
8,"cond-mat.mtrl-sci"
9,"astro-ph"
10,"math.NT"
11,"math.AG"
12,"math.AT"
13,"hep-th"
14,"math.PR"
15,"hep-ex"
16,"nlin.PS"
17,"physics.chem-ph"
18,"q-bio.MN"
19,"math.NA"
20,"cond-mat.str-el"
21,"cond-mat.stat-mech"
22,"math.RA"
23,"physics.optics"
24,"physics.comp-ph"
25,"q-bio.PE"
26,"q-bio.CB"
27,"quant-ph"
28,"q-bio.QM"
29,"hep-lat"
30,"nucl-th"
31,"math.OA"
32,"math.QA"
33,"math-ph"
34,"math.MP"
35,"nlin.CD"
36,"physics.plasm-ph"
37,"physics.space-ph"
38,"nlin.SI"
39,"cs.IT"
40,"math.IT"
41,"cs.NE"
42,"cs.AI"
43,"physics.ed-ph"
44,"math.DG"
45,"cond-mat.soft"
46,"physics.pop-ph"
47,"cs.DS"
48,"math.CV"
49,"math.DS"
50,"physics.soc-ph"
51,"nucl-ex"
52,"math.RT"
53,"cond-mat.other"
54,"physics.flu-dyn"
55,"physics.data-an"
56,"cs.CE"
57,"cs.MS"
58,"cs.NA"
59,"math.GR"
60,"cond-mat.supr-con"
61,"math.AC"
62,"math.SG"
63,"cs.CC"
64,"math.KT"
65,"math.GT"
66,"math.AP"
67,"physics.class-ph"
68,"q-bio.OT"
69,"physics.bio-ph"
70,"q-bio.BM"
71,"nlin.CG"
72,"cs.DM"
73,"cs.LO"
74,"cond-mat.dis-nn"
75,"math.MG"
76,"physics.atom-ph"
77,"math.SP"
78,"math.ST"
79,"stat.TH"
80,"physics.ao-ph"
81,"physics.ins-det"
82,"q-fin.CP"
83,"q-fin.PR"
84,"physics.geo-ph"
85,"q-bio.NC"
86,"q-fin.RM"
87,"q-bio.SC"
88,"astro-ph.HE"
89,"math.OC"
90,"cs.CR"
91,"math.CT"
92,"math.LO"
93,"cs.NI"
94,"q-fin.GN"
95,"q-fin.ST"
96,"cs.LG"
97,"cs.PF"
98,"stat.ME"
99,"stat.AP"
100,"math.GM"
101,"physics.atm-clus"
102,"cs.SE"
103,"physics.acc-ph"
104,"math.GN"
105,"stat.CO"
106,"physics.hist-ph"
107,"cs.AR"
108,"cs.SC"
109,"physics.med-ph"
110,"stat.ML"
111,"cs.CY"
112,"cs.IR"
113,"q-bio.GN"
114,"cs.CV"
115,"math.HO"
116,"cs.OH"
117,"cs.DB"
118,"cs.DL"
119,"cs.HC"
120,"cs.PL"
121,"nlin.AO"
122,"cs.GT"
123,"cs.DC"
124,"cond-mat.quant-gas"
125,"cs.MA"
126,"cs.CL"
127,"q-fin.PM"
128,"cs.MM"
129,"astro-ph.EP"
130,"cs.RO"
131,"econ.EM"
132,"cs.ET"
133,"q-bio.TO"
134,"cs.GL"
135,"astro-ph.SR"
136,"astro-ph.CO"
137,"cs.FL"
138,"cs.OS"
139,"q-fin.TR"
140,"astro-ph.IM"
141,"cs.SD"
142,"cs.GR"
143,"cs.SY"
144,"astro-ph.GA"
145,"cs.SI"
146,"stat.OT"
147,"econ.TH"
148,"econ.GN"
149,"q-fin.EC"
150,"eess.IV"
151,"eess.AS"
152,"eess.SP"
153,"q-fin.MF"
154,"physics.app-ph"
155,"acc-phys"
156,"adap-org"
157,"q-bio"
158,"cond-mat"
159,"chao-dyn"
160,"patt-sol"
161,"dg-ga"
162,"solv-int"
163,"bayes-an"
164,"comp-gas"
165,"alg-geom"
166,"funct-an"
167,"q-alg"
168,"ao-sci"
169,"atom-ph"
170,"chem-ph"
171,"plasm-ph"
172,"mtrl-th"
173,"cmp-lg"
174,"supr-con"
